ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),IQR,HD,Sex,DOB,Weight,Analysis Date,Age,Rx
3945,KO,2022-07-26-21:15:17.471788,11.5,0.16,0.133,37.05,16.05,25.74,0.058363,0.764550927,M,15/2/2022,360,16/6/2022,121,PA-D21
3957,KO,2022-08-01-06:55:52.878482,16.1,0.15,0.127,47.91,19.28,36.47,0.0681205,0.892373446,M,27/2/2022,369,16/6/2022,109,PA-D21
3961,WT,2022-07-01-20:08:20.313785,20.3,0.18,0.127,61.03,20.42,49.87,0.11175125,1.463933002,F,27/2/2022,264,16/6/2022,109,PA-D21
3964,CF,2022-07-31-13:03:08.407351,14.4,0.14,0.139,43.57,19.73,31.67,0.056201,0.736228889,M,28/2/2022,435,16/6/2022,108,PA-D21
3966,CF,2022-07-23-01:19:34.070080,13.4,0.17,0.136,39.99,19.15,30.86,0.066383,0.869612326,F,28/2/2022,275,15/6/2022,107,PA-D21
3967,CF,2022-07-11-08:29:05.864477,12.9,0.15,0.138,38.97,17.83,24.7,0.056057,0.7343425,F,28/2/2022,283,15/6/2022,107,PA-D21
3972,WT,2022-06-30-21:11:48.584130,14.2,0.17,0.142,41.54,20.26,29.21,0.0717345,0.939716575,F,28/2/2022,257,15/6/2022,107,PA-D21
3975,WT,2022-07-01-00:13:04.259846,15.1,0.17,0.126,45.15,17.57,32.5,0.07836775,1.026611653,F,28/2/2022,296,15/6/2022,107,PA-D21
3980,WT,2022-07-26-21:10:24.826288,22.6,0.14,0.125,64.33,26.18,47.27,0.091710675,1.201402971,M,19/3/2022,424,15/6/2022,88,PA-D21
3981,WT,2022-06-30-18:38:00.676671,20.2,0.15,0.125,59.89,19.98,46.51,0.09145425,1.198043823,M,19/3/2022,395,15/6/2022,88,PA-D21
3987,KO,2022-07-27-18:25:07.972788,18.2,0.17,0.129,53.78,21.2,40.58,0.09052375,1.185854342,M,7/3/2022,318,16/6/2022,101,PA-D21
4580,WT,2023-08-09-01:41:43.754457,15.1,0.2,1.199,43.52,19.3,32.13,0.086656,1.135187107,F,7/10/2022,292,22/2/2023,138,PA-D21
4581,KO,2023-08-09-01:43:33.623903,13.3,0.177,1.283,37.7,17.32,24.76,0.0659435,0.863854909,F,7/10/2022,262,22/2/2023,138,PA-D21
4589,KO,2023-06-13-10:16:38.832606,14.1,0.169,1.264,40.9,16.36,29.93,0.0687435,0.900534699,M,17/10/2022,358,22/2/2023,128,PA-D21
4616,KO,2023-06-13-10:19:34.018869,13.7,0.134,1.329,42.96,15.86,31.17,0.057193,0.749224015,M,23/10/2022,414,22/2/2023,122,PA-D21
4617,KO,2023-06-13-10:27:35.049751,12.3,0.146,1.283,39.26,17.31,26.34,0.0572335,0.749754562,M,23/10/2022,355,22/2/2023,122,PA-D21
4622,KO,2023-08-09-01:41:50.980536,13.7,0.175,1.239,39.53,17.98,27.02,0.068781,0.901025946,M,23/10/2022,330,22/2/2023,122,PA-D21
4626,WT,2023-06-13-10:49:59.977927,15.1,0.128,1.28,45.73,19.36,27.74,0.05802945,0.760181447,M,1/11/2022,546,22/2/2023,113,PA-D21
4627,WT,2023-08-09-01:41:43.529007,16.7,0.119,1.207,51.44,21.59,32.3,0.06063,0.794248457,M,1/11/2022,561,22/2/2023,113,PA-D21
4628,CF,2023-08-09-01:37:51.274576,12.7,0.211,1.246,40.15,18.94,30.31,0.083929,1.099463612,F,1/11/2022,215,22/2/2023,113,PA-D21
4630,CF,2023-06-29-05:34:45.345602,17.7,0.177,1.22,50.73,24.44,32.9,0.089285,1.16962681,F,1/11/2022,264,22/2/2023,113,PA-D21
S56,CF,2023-06-13-10:43:23.948916,17.4,0.128,1.108,52.27,23.09,31.91,0.0663201,0.868788341,M,14/11/2022,522,22/2/2023,100,PA-D21
