ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),IQR,HD,Sex,DOB,Weight,Analysis Date,Age,Rx
4231,CF,2023-04-18-00:18:27.263051,17,0.159,1.29,48.77,21.85,35.22,0.077009,1.00881213,F,21/5/2022,276,27/9/2022,129,PA-D07
4294,CF,2023-02-15-01:23:21.070468,14.8,0.16,0.875,45.4,20.35,30.89,0.07040375,0.92228385,M,24/6/2022,371,27/9/2022,95,PA-D07
4296,CF,2023-02-28-19:41:47.211316,14,0.18,0.972,43.24,21.11,34.86,0.077225,1.011641714,M,24/6/2022,340,27/9/2022,95,PA-D07
4326,WT,2023-05-12-02:06:55.291720,15.2,0.155,1.248,46.57,18.56,33.36,0.0716845,0.939061579,M,12/7/2022,352,27/9/2022,77,PA-D07
4388,CF,2023-02-27-19:47:55.315921,11.8,0.18,1.082,40.05,18.98,25.61,0.071154,0.932112069,F,12/7/2022,222,27/9/2022,77,PA-D07
4389,CF,2023-02-27-21:57:39.030029,12,0.18,1.157,38.54,17.74,27.66,0.069611,0.911898884,F,12/7/2022,224,27/9/2022,77,PA-D07
4637,KO,2023-08-09-01:43:20.124883,13.4,0.2,1.325,41.6,17.04,28,0.082588,1.081896612,F,8/11/2022,210,9/2/2023,93,PA-D07
4661,KO,2023-05-15-04:31:54.311264,13.5,0.209,1.162,41.5,17.29,31.9,0.0865195,1.133398967,F,15/11/2022,203,9/2/2023,86,PA-D07
4662,KO,2023-08-09-01:42:21.598334,15.3,0.195,1.179,44.62,19.94,32.79,0.086249,1.129855438,F,15/11/2022,213,9/2/2023,86,PA-D07
S54,WT,2023-05-15-04:30:25.161836,11,0.123,1.265,40.82,15.98,32.78,0.0500856,0.656117607,M,14/11/2022,474,9/2/2023,87,PA-D07
S57,WT,2023-07-05-20:37:36.067519,17.1,0.121,1.304,52.22,22.77,34.79,0.062759975,0.82215097,M,14/11/2022,447,9/2/2023,87,PA-D07
S66,WT,2023-02-16-23:31:56.513764,15.7,0.12,0.987,46.89,23.52,30.41,0.0575414,0.753788029,M,14/11/2022,529,9/2/2023,87,PA-D07
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
