ScanName,Genotype,Date Prepared,VDP(%),MSV(mL/mL),TV(L),VH(%),VHSS(%),VHLS(%),Sex,DOB,Weight,Analysis Date,Age,Rx
3945,KO,2022-07-26-21:15:17.471788,11.5,0.16,0.133,37.05,16.05,25.74,M,15/2/2022,360,16/6/2022,121,PA-D21
3957,KO,2022-08-01-06:55:52.878482,16.1,0.15,0.127,47.91,19.28,36.47,M,27/2/2022,369,16/6/2022,109,PA-D21
3961,WT,2022-07-01-20:08:20.313785,20.3,0.18,0.127,61.03,20.42,49.87,F,27/2/2022,264,16/6/2022,109,PA-D21
3964,CF,2022-07-31-13:03:08.407351,14.4,0.14,0.139,43.57,19.73,31.67,M,28/2/2022,435,16/6/2022,108,PA-D21
3966,CF,2022-07-23-01:19:34.070080,13.4,0.17,0.136,39.99,19.15,30.86,F,28/2/2022,275,15/6/2022,107,PA-D21
3967,CF,2022-07-11-08:29:05.864477,12.9,0.15,0.138,38.97,17.83,24.7,F,28/2/2022,283,15/6/2022,107,PA-D21
3972,WT,2022-06-30-21:11:48.584130,14.2,0.17,0.142,41.54,20.26,29.21,F,28/2/2022,257,15/6/2022,107,PA-D21
3973,WT,2022-07-01-21:58:06.093197,24.9,0.17,0.121,74.5,24.61,57.28,F,28/2/2022,285,15/6/2022,107,PA-D21
3975,WT,2022-07-01-00:13:04.259846,15.1,0.17,0.126,45.15,17.57,32.5,F,28/2/2022,296,15/6/2022,107,PA-D21
3979,WT,2022-07-18-08:03:47.986910,17.3,0.15,0.134,53.57,21.74,37.56,M,19/3/2022,413,15/6/2022,88,PA-D21
3980,WT,2022-07-26-21:10:24.826288,22.6,0.14,0.125,64.33,26.18,47.27,M,19/3/2022,424,15/6/2022,88,PA-D21
3981,WT,2022-06-30-18:38:00.676671,20.2,0.15,0.125,59.89,19.98,46.51,M,19/3/2022,395,15/6/2022,88,PA-D21
3987,KO,2022-07-27-18:25:07.972788,18.2,0.17,0.129,53.78,21.2,40.58,M,7/3/2022,318,16/6/2022,101,PA-D21
4580,WT,2023-08-09-01:42:25.286333,15.1,0.2,1.199,43.52,19.3,32.13,F,7/10/2022,292,22/2/2023,138,PA-D21
4581,KO,2023-08-09-01:43:33.623903,13.3,0.177,1.283,37.7,17.32,24.76,F,7/10/2022,262,22/2/2023,138,PA-D21
4589,KO,2023-06-13-10:16:38.832606,14.1,0.169,1.264,40.9,16.36,29.93,M,17/10/2022,358,22/2/2023,128,PA-D21
4616,KO,2023-06-13-10:19:34.018869,13.7,0.134,1.329,42.96,15.86,31.17,M,23/10/2022,414,22/2/2023,122,PA-D21
4617,KO,2023-06-13-10:27:35.049751,12.3,0.146,1.283,39.26,17.31,26.34,M,23/10/2022,355,22/2/2023,122,PA-D21
4622,KO,2023-08-09-01:41:04.939429,13.7,0.175,1.239,39.53,17.98,27.02,M,23/10/2022,330,22/2/2023,122,PA-D21
4626,WT,2023-06-13-10:49:59.977927,15.1,0.128,1.28,45.73,19.36,27.74,M,1/11/2022,546,22/2/2023,113,PA-D21
4627,WT,2023-08-09-01:40:46.817952,16.7,0.119,1.207,51.44,21.59,32.3,M,1/11/2022,561,22/2/2023,113,PA-D21
4628,CF,2023-08-09-01:37:51.274576,12.7,0.211,1.246,40.15,18.94,30.31,F,1/11/2022,215,22/2/2023,113,PA-D21
4630,CF,2023-06-29-05:34:45.345602,17.7,0.177,1.22,50.73,24.44,32.9,F,1/11/2022,264,22/2/2023,113,PA-D21
S56,CF,2023-06-13-10:43:23.948916,17.4,0.128,1.108,52.27,23.09,31.91,M,14/11/2022,522,22/2/2023,100,PA-D21
